name,price,bairro
Casa Padrão,"280.000,00",Bairro: Jardim Coopagro
Casa Padrão,"280.000,00",Bairro: Jardim Coopagro
Terreno Lote Urbano,"21.562.500,00",Bairro: Centro
Casa Padrão,"630.000,00",Bairro: Jardim Tocantins
Casa Padrão,"630.000,00",Bairro: Jardim Tocantins
Casa Sobrado,"3.500.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"185.000,00",Bairro: Jardim Coopagro
Casa Padrão,"245.000,00",Bairro: Pinheirinho
Casa Padrão,"245.000,00",Bairro: Pinheirinho
Apartamento Padrão,"1.500.000,00",Bairro: Centro
Apartamento Padrão,"1.500.000,00",Bairro: Centro
Apartamento Padrão,"1.250.000,00",Bairro: Centro
Apartamento Padrão,"3.800,00",Bairro: Jardim La Salle
Casa Padrão,"700.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"638.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"3.020.000,00",Bairro: Jardim La Salle
Casa Padrão,"370.000,00",Bairro: Vila Pioneiro
Rural Chácara sem Casa,"5.900.000,00",Bairro: Centro
Casa Padrão,"230.000,00",Bairro: Jardim Bressan
Terreno Lote Urbano,"200.000,00",Bairro: Área rural
Terreno Lote Urbano,"150.000,00",Bairro: Área rural
Terreno Lote Urbano,"180.000,00",Bairro: Área rural
Rural Chácara com Casa,"600.000,00",Bairro: Área rural
Comercial Barracão,"
															10.900,00														",Bairro: Vila Industrial
Casa Padrão,"240.000,00",Bairro: Jardim Coopagro
Casa Padrão,"1.000.000,00",Bairro: Vila Industrial
Terreno Lote Urbano,"850.000,00",Bairro: BIOPARK
Apartamento Padrão,"850.000,00",Bairro: Centro
Apartamento Padrão,"155.000,00",Bairro: Jardim São Francisco
Terreno Lote Urbano,"280.000,00",Bairro: Jardim Panorama
Casa Padrão,"259.000,00",Bairro: Jardim São Francisco
Casa Padrão,"259.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"500.000,00",Bairro: Jardim Pancera
Comercial Edificio Co...,"3.900.000,00",Bairro: Jardim Tocantins
Apartamento Padrão,"273.309,29",Bairro: Vila Industrial
Apartamento Padrão,"273.309,29",Bairro: Vila Industrial
Apartamento Padrão,"273.309,29",Bairro: Vila Industrial
Terreno Lote Urbano,"350.000,00",Bairro: Vila Industrial
Casa Sobrado,"820.000,00",Bairro: Jardim Concórdia
Terreno Lote Urbano,"750.000,00",Bairro: Vila Industrial
Casa Padrão,"800.000,00",Bairro: Jardim Coopagro
Apartamento Padrão,"250.000,00",Bairro: Centro
Apartamento Padrão,"335.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"790.000,00",Bairro: Centro
Apartamento Padrão,"1.100.000,00",Bairro: Centro
Casa Padrão,"375.000,00",Bairro: Jardim Coopagro
Comercial Sala Comercial,"
															3.500,00														",Bairro: Jardim Porto Alegre
Terreno Lote Urbano,"151.200,00",Bairro: Novo Sobradinho (Distrito de Toledo)
Casa Sobrado,"650.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"590.000,00",Bairro: Centro
Casa Sobrado,"950.000,00",Bairro: Vila Industrial
Terreno Lote Urbano,"1.900.000,00",Bairro: Jardim La Salle
Terreno Lote Urbano,"1.300.000,00",Bairro: Jardim Santa Maria
Casa Padrão,"2.600.000,00",Bairro: Vila Industrial
Casa Sobrado,"650.000,00",Bairro: Centro
Casa Sobrado,"745.000,00",Bairro: Jardim Gisela
Casa Sobrado,"750.000,00",Bairro: Jardim Gisela
Casa Sobrado,"530.000,00",Bairro: Jardim Porto Alegre
Apartamento Padrão,"340.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"325.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"330.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"330.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"325.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"380.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"355.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"335.000,00",Bairro: Jardim Gisela
